category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,researchTrend,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
General BCI Methods and Systems,243,2008,The Berlin Brain-Computer Interface,"B. Blankertz, M. Tangermann, F. Popescu, M. Krauledat, S. Fazli, Márton Dónaczy, et al.",IEEE World Congress on Computational Intelligence,2008-06-01,54,0,92.661,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions The Berlin Brain-Computer Interface within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1007/978-3-540-68860-0_4,https://www.semanticscholar.org/paper/915cfe654ccef78ef8ee152f18e802b7e4e13113,,10.1007/978-3-540-68860-0_4,,,Computer Science; Engineering
General BCI Methods and Systems,244,2009,Selecting features for BCI control based on a covert spatial attention paradigm,"M. Gerven, Ali Bahramisharif, T. Heskes, O. Jensen",Neural Networks,2009-11-01,53,3,127.211,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Selecting features for BCI control based on a covert spatial attention paradigm within General BCI Methods and Systems.,recognized venue; open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.neunet.2009.06.004,https://www.semanticscholar.org/paper/6bb79fdcd78fa1bc71ec62ee143ac7889efa8965,https://repository.ubn.ru.nl//bitstream/handle/2066/101013/101013.pdf,10.1016/j.neunet.2009.06.004,,19577900,Computer Science; Engineering; Medicine
General BCI Methods and Systems,245,2010,Applications for Brain-Computer Interfaces,"M. Jackson, IV RudolphLouisMappus",Brain-Computer Interfaces,,53,1,114.734,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Applications for Brain-Computer Interfaces within General BCI Methods and Systems.,recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1007/978-1-84996-272-8_6,https://www.semanticscholar.org/paper/223a14fbc6818340b68214e6335dfa749746840c,,10.1007/978-1-84996-272-8_6,,,Computer Science; Engineering; Medicine
General BCI Methods and Systems,246,2012,Empirical Evaluation of the Emotiv EPOC BCI Headset for the Detection of Mental Actions,"Grant S. Taylor, C. Schmidt",,2012-09-01,53,1,104.734,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Empirical Evaluation of the Emotiv EPOC BCI Headset for the Detection of Mental Actions within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1177/1071181312561017,https://www.semanticscholar.org/paper/2b138b8480bde571a0def6b5622415bcc9f8923d,,10.1177/1071181312561017,,,Computer Science; Engineering; Psychology
General BCI Methods and Systems,247,2008,Auditory and spatial navigation imagery in Brain-Computer Interface using optimized wavelets.,"A. F. Cabrera, K. Dremstrup",Journal of Neuroscience Methods,2008-09-15,53,0,102.258,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Auditory and spatial navigation imagery in Brain-Computer Interface using optimized wavelets. within General BCI Methods and Systems.,recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.jneumeth.2008.06.026,https://www.semanticscholar.org/paper/00ad222b19f6a04800682260314a1cf352cb17b4,,10.1016/j.jneumeth.2008.06.026,,18656500,Computer Science; Medicine
General BCI Methods and Systems,248,2007,Feature selection for brain-computer interfaces,M. Tangermann,,,52,3,116.8,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Feature selection for brain-computer interfaces within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://www.semanticscholar.org/paper/1defc59603c1e6164703e83caae27977da1b10f9,https://www.semanticscholar.org/paper/1defc59603c1e6164703e83caae27977da1b10f9,,,,,Computer Science
General BCI Methods and Systems,249,2004,Brain Computer Interface based on the Steady-State VEP for Immersive Gaming Control,"E. Lalor, S. Kelly, C. Finucane, R. Burke, R. Reilly, G. McDarby",,,52,0,91.846,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Brain Computer Interface based on the Steady-State VEP for Immersive Gaming Control within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://www.semanticscholar.org/paper/47f34baaf2dc72a1f444a922f5d8781716d1f583,https://www.semanticscholar.org/paper/47f34baaf2dc72a1f444a922f5d8781716d1f583,,,,,Computer Science; Engineering
General BCI Methods and Systems,250,2021,A Blockchain Security Module for Brain-Computer Interface (BCI) with Multimedia Life Cycle Framework (MLCF),"A. Khan, Asif Ali Laghari, A. Shaikh, Mazhar Ali Dootio, Vania V. Estrela, R. T. Lopes",Neuroscience Informatics,2021-12-01,51,0,104.927,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions A Blockchain Security Module for Brain-Computer Interface (BCI) with Multimedia Life Cycle Framework (MLCF) within General BCI Methods and Systems.,recognized venue; open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.neuri.2021.100030,https://www.semanticscholar.org/paper/7185cbcc535bcfe5e715998fc648176d758367c5,https://doi.org/10.1016/j.neuri.2021.100030,10.1016/j.neuri.2021.100030,,,Computer Science; Engineering
General BCI Methods and Systems,251,2010,A Procedure for Measuring Latencies in Brain-Computer Interfaces,"Adam Wilson, J. Mellinger, G. Schalk, Justin C. Williams",IEEE Transactions on Biomedical Engineering,2010-04-15,50,2,122.275,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Brain-computer interface (BCI) systems must process neural signals with consistent timing in order to support adequate system performance.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TBME.2010.2047259,https://www.semanticscholar.org/paper/62c1920f9672e72bb41217718b052bc9be2008c9,https://europepmc.org/articles/pmc3161621?pdf=render,10.1109/TBME.2010.2047259,,20403781,Computer Science; Engineering; Medicine
General BCI Methods and Systems,252,2007,The Muscle Activation Method: An Approach to Impedance Control of Brain-Machine Interfaces Through a Musculoskeletal Model of the Arm,"Hyun K. Kim, J. Carmena, James Biggs, Timothy L Hanson, M. Nicolelis, M. Srinivasan",IEEE Transactions on Biomedical Engineering,2007-07-16,50,0,101.0,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions The Muscle Activation Method: An Approach to Impedance Control of Brain-Machine Interfaces Through a Musculoskeletal Model of the Arm within General BCI Methods and Systems.,recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/TBME.2007.900818,https://www.semanticscholar.org/paper/2696efecc2f69a7503a358c950561b3b20b63dc6,,10.1109/TBME.2007.900818,,17694874,Computer Science; Engineering; Medicine
General BCI Methods and Systems,253,2006,Evaluating the Performance of Self-Paced Brain-Computer Interface Technology,"S. G. Mason, Julien Kronegg, Mehrdad Fatourechi",,,49,9,132.011,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Evaluating the Performance of Self-Paced Brain-Computer Interface Technology within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://www.semanticscholar.org/paper/345904fac47d9df01e59b02104dc9fd9ab5b2377,https://www.semanticscholar.org/paper/345904fac47d9df01e59b02104dc9fd9ab5b2377,,,,,Computer Science; Engineering
General BCI Methods and Systems,254,2007,To Err Is Human: Learning from Error Potentials in Brain-Computer Interfaces,"Ricardo Chavarriaga, P. Ferrez, J. Millán",,,48,4,119.09,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions To Err Is Human: Learning from Error Potentials in Brain-Computer Interfaces within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1007/978-1-4020-8387-7_134,https://www.semanticscholar.org/paper/be3dafb90b138e8d84d36b9c4ac3cfadeaf4e1d8,,10.1007/978-1-4020-8387-7_134,,,Computer Science; Engineering
General BCI Methods and Systems,255,2005,UNCONSCIOUS OPERANT CONDITIONING IN THE PARADIGM OF BRAIN-COMPUTER INTERFACE BASED ON COLOR PERCEPTION,"A. Kaplan, J. Byeon, Jong-Jin Lim, Kyung-Soo Jin, B. Park, S. U. Tarasova",International Journal of Neuroscience,2005-01-01,47,1,112.143,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions UNCONSCIOUS OPERANT CONDITIONING IN THE PARADIGM OF BRAIN-COMPUTER INTERFACE BASED ON COLOR PERCEPTION within General BCI Methods and Systems.,recognized venue,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1080/00207450590881975,https://www.semanticscholar.org/paper/081c6cf865a372e4e49131c515b7f67ecb64e881,,10.1080/00207450590881975,,16019574,Computer Science; Medicine; Psychology
General BCI Methods and Systems,256,2001,A Flexible Brain-Computer Interface,J. Bayliss,,2001-08-01,46,2,108.978,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions A Flexible Brain-Computer Interface within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://www.semanticscholar.org/paper/436564b0b0788ecffb41eeec6b8a12fb4bc17389,https://www.semanticscholar.org/paper/436564b0b0788ecffb41eeec6b8a12fb4bc17389,,,,,Computer Science; Engineering; Medicine
General BCI Methods and Systems,257,2008,Common Spatial Pattern and Particle Swarm Optimization for Channel Selection in BCI,"J. Lv, Meichun Liu","International Conference on Innovative Computing, Information and Control",2008-06-18,46,2,108.978,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Common Spatial Pattern and Particle Swarm Optimization for Channel Selection in BCI within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/ICICIC.2008.196,https://www.semanticscholar.org/paper/80ec26414ba43abafac58f02669cca5a5904965f,,10.1109/ICICIC.2008.196,,,Computer Science
General BCI Methods and Systems,258,2009,Towards a Brain Computer Interface using wavelet transform with averaged and time segmented adapted wavelets,"M. B. Khalid, N. I. Rao, I. Rizwan-i-Haque, S. Munir, F. Tahir","International Conference on Computer, Control and Communication",2009-05-05,46,1,101.68,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Towards a Brain Computer Interface using wavelet transform with averaged and time segmented adapted wavelets within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/IC4.2009.4909189,https://www.semanticscholar.org/paper/3f736e0d8685fecb5e05153bc05bfe10eb80dd4b,,10.1109/IC4.2009.4909189,,,Computer Science
General BCI Methods and Systems,259,2009,The I of BCIs: Next Generation Interfaces for Brain-Computer Interface Systems That Adapt to Individual Users,B. Allison,Interacción,2009-07-14,45,1,101.207,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions The I of BCIs: Next Generation Interfaces for Brain-Computer Interface Systems That Adapt to Individual Users within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1007/978-3-642-02577-8_61,https://www.semanticscholar.org/paper/86d91bb91e9778ae5190b06f28964cc7651d4b6b,,10.1007/978-3-642-02577-8_61,,,Computer Science; Engineering
General BCI Methods and Systems,260,2007,Micropatterned dry electrodes for brain-computer interface,"M. Matteucci, R. Carabalona, M. Casella, E. Fabrizio, F. Gramatica, M. Rienzo, et al.",,2007-05-01,45,0,88.73,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Micropatterned dry electrodes for brain-computer interface within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1016/J.MEE.2007.01.243,https://www.semanticscholar.org/paper/a9a2c0a78e449cf49a68d9e0af515d7acae59fb4,,10.1016/J.MEE.2007.01.243,,,Engineering; Materials Science; Medicine
General BCI Methods and Systems,261,2009,Brain-computer interfaces for goal orientated control of a virtual smart home environment,"G. Edlinger, C. Holzner, C. Guger, Christoph Groenegress, M. Slater",International IEEE/EMBS Conference on Neural Engineering,2009-06-23,44,2,108.022,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Brain-computer interfaces for goal orientated control of a virtual smart home environment within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/NER.2009.5109333,https://www.semanticscholar.org/paper/07c5f34157e65c49decaabf4e1dc38283b46ffdb,,10.1109/NER.2009.5109333,,,Computer Science; Engineering
General BCI Methods and Systems,262,2023,"Electroencephalogram based brain-computer interface: Applications, challenges, and opportunities","Hitesh Yadav, S. Maini",Multimedia tools and applications,2023-05-04,44,1,109.223,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",review,Brain-Computer Interfaces (BCI) is an exciting and emerging research area for researchers and scientists.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1007/s11042-023-15653-x,https://www.semanticscholar.org/paper/09d7690bae2ad6ed159236d83e4e3b269f3a56ab,https://link.springer.com/content/pdf/10.1007/s11042-023-15653-x.pdf,10.1007/s11042-023-15653-x,,37362726,Computer Science; Engineering; Medicine
General BCI Methods and Systems,263,2023,Machine learning techniques for electroencephalogram based brain-computer interface: A systematic literature review,"Pawan, R. Dhiman",Measurement: Sensors,2023-08-01,44,1,107.723,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",review,Positions Machine learning techniques for electroencephalogram based brain-computer interface: A systematic literature review within General BCI Methods and Systems.,open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.measen.2023.100823,https://www.semanticscholar.org/paper/cc4520eb7aeae96541655bae8b811206cc0d080e,https://doi.org/10.1016/j.measen.2023.100823,10.1016/j.measen.2023.100823,,,Computer Science; Medicine
General BCI Methods and Systems,264,2004,Improving speed and accuracy of brain-computer interfaces using readiness potential features,"M. Krauledat, G. Dornhege, B. Blankertz, F. Losch, G. Curio, K. Müller",Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2004-12-01,44,1,100.723,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Improving speed and accuracy of brain-computer interfaces using readiness potential features within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/IEMBS.2004.1404253,https://www.semanticscholar.org/paper/e97df1fc2b86ac3d4af17bd479721c1497ac8345,,10.1109/IEMBS.2004.1404253,,17271309,Computer Science; Medicine
General BCI Methods and Systems,265,2005,Independent Brain Computer Interface Control using Visual Spatial Attention-Dependent Modulations of Parieto-occipital Alpha,"S. Kelly, E. Lalor, R. Reilly, John J. Foxe","Conference Proceedings. 2nd International IEEE EMBS Conference on Neural Engineering, 2005.",2005-03-16,43,6,122.779,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Independent Brain Computer Interface Control using Visual Spatial Attention-Dependent Modulations of Parieto-occipital Alpha within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/CNE.2005.1419713,https://www.semanticscholar.org/paper/33f948117020a3a45f9abd904107629128d37a55,,10.1109/CNE.2005.1419713,,,Computer Science; Psychology
General BCI Methods and Systems,266,2009,Evidences of cognitive effects over auditory steady-state responses by means of artificial neural networks and its use in brain-computer interfaces,"M. López, H. Pomares, F. Pelayo, J. Urquiza, Javier Perez",Neurocomputing,2009-10-01,43,2,107.527,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Evidences of cognitive effects over auditory steady-state responses by means of artificial neural networks and its use in brain-computer interfaces within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.neucom.2009.04.021,https://www.semanticscholar.org/paper/a4b3daf2cf15ec2cf977ae99d974ae7fe758ca7e,,10.1016/j.neucom.2009.04.021,,,Computer Science
General BCI Methods and Systems,267,2008,Games and Brain-Computer Interfaces: The State of the Art,Boris Reuderink,,2008-09-10,43,1,100.229,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Games and Brain-Computer Interfaces: The State of the Art within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://www.semanticscholar.org/paper/9f13906d98a7bbbcbdecfc6bdfe57336add817ba,https://www.semanticscholar.org/paper/9f13906d98a7bbbcbdecfc6bdfe57336add817ba,,,,,Computer Science
General BCI Methods and Systems,268,2007,Development of an Optical Brain-machine Interface,"K. Utsugi, A. Obata, H. Sato, T. Katsura, K. Sagara, A. Maki, et al.",Annual International Conference of the IEEE Engineering in Medicine and Biology Society,2007-10-22,41,5,118.98,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Development of an Optical Brain-machine Interface within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/IEMBS.2007.4353547,https://www.semanticscholar.org/paper/5f57cee8e072496c44a3f10c8d23656df5f93a42,,10.1109/IEMBS.2007.4353547,,18003213,Computer Science; Engineering; Medicine
General BCI Methods and Systems,269,2008,Incremental Common Spatial Pattern algorithm for BCI,"Qibin Zhao, Liqing Zhang, A. Cichocki, Jie Li",IEEE World Congress on Computational Intelligence,2008-06-01,41,2,106.504,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Incremental Common Spatial Pattern algorithm for BCI within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1109/IJCNN.2008.4634170,https://www.semanticscholar.org/paper/b59ba47fb5a147d312c54a25b81c5c31db760b49,,10.1109/IJCNN.2008.4634170,,,Computer Science
General BCI Methods and Systems,270,2009,Command of a simulated wheelchair on a virtual environment using a brain-computer interface,"G. Gentiletti, J. Gebhart, R. Acevedo, O. Yáñez-Suárez, V. Médina-Bañuelos",,2009-11-01,41,1,99.205,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Command of a simulated wheelchair on a virtual environment using a brain-computer interface within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1016/J.IRBM.2009.10.006,https://www.semanticscholar.org/paper/c324f8c2bef2b0bb3fc4530448af24973c83a6e2,,10.1016/J.IRBM.2009.10.006,,,Computer Science; Engineering; Medicine
General BCI Methods and Systems,271,2024,Development of real-time brain-computer interface control system for robot,"Yang An, J. Wong, Sai-Ho Ling",Applied Soft Computing,2024-04-01,41,1,99.205,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Development of real-time brain-computer interface control system for robot within General BCI Methods and Systems.,open-access PDF metadata,abstract unavailable in metadata,https://doi.org/10.1016/j.asoc.2024.111648,https://www.semanticscholar.org/paper/0baf7641fe317593dd2b1f10e19f8c42742b6ca6,https://doi.org/10.1016/j.asoc.2024.111648,10.1016/j.asoc.2024.111648,,,Computer Science; Engineering
General BCI Methods and Systems,272,2003,Guest editorial brain-computer interface technology: a review of the second international meeting,T. Vaughan,,2003-07-28,41,0,93.729,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",review,Positions Guest editorial brain-computer interface technology: a review of the second international meeting within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1109/TNSRE.2003.814799,https://www.semanticscholar.org/paper/4c58e2e898888566c6736ff95960125e76ad1352,,10.1109/TNSRE.2003.814799,,,Computer Science; Engineering; Medicine
General BCI Methods and Systems,273,2007,Subject-based feature extraction using fuzzy wavelet packet in brain-computer interfaces,"Banghua Yang, G. Yan, Ting Wu, Rongguo Yan",Signal Processing,2007-07-01,41,0,86.729,"General BCI work is consolidating definitions, system architectures, evaluation principles, and long-term challenges across invasive and non-invasive approaches. Recent surveys increasingly emphasize translation, usability, ethics, safety, reproducibility, and the gap between laboratory performance and real-world use. This area functions as the conceptual bridge between signal processing, neural engineering, clinical deployment, and human-centered design.",BCI method,Positions Subject-based feature extraction using fuzzy wavelet packet in brain-computer interfaces within General BCI Methods and Systems.,selected by citation count from the audited BCI candidate pool,abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.sigpro.2006.12.018,https://www.semanticscholar.org/paper/e9ea43b83842dfdeea1dedce5b7753a05171b27e,,10.1016/j.sigpro.2006.12.018,,,Computer Science; Medicine
