category,taxonomyRank,year,title,authors,venue,publicationDate,citationCount,influentialCitationCount,importanceScore,methodTags,keyIdea,strengths,limitations,paperLink,semanticScholarUrl,openAccessPdf,doi,arxiv,pubmed,fieldsOfStudy
Motor Imagery and Movement Decoding,50,2020,Transfer learning for motor imagery based brain-computer interfaces: A tutorial,"Dongrui Wu, Xue Jiang, Ruimin Peng",Neural Networks,2020-07-03,126,5,158.324,closed-loop,"A brain-computer interface (BCI) enables a user to communicate directly with an external device, e.g., a computer, using brain signals.",high citation signal (126); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1016/j.neunet.2022.06.008,https://www.semanticscholar.org/paper/b0d915d9fee0cc9146835732a7371fa3059ca0a9,https://arxiv.org/pdf/2007.03746,10.1016/j.neunet.2022.06.008,2007.03746,35753202,Computer Science; Engineering; Mathematics; Medicine
Motor Imagery and Movement Decoding,51,2020,The current state of electrocorticography-based brain-computer interfaces.,"K. Miller, D. Hermes, N. Staff",Neurosurgical Focus,2020-07-01,90,5,157.991,review; clinical/rehab; invasive; communication,Brain-computer interfaces (BCIs) provide a way for the brain to interface directly with a computer.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3171/2020.4.focus20185,https://www.semanticscholar.org/paper/a17673901927b70e0d276683f12a06b91674ce4f,https://thejns.org/downloadpdf/journals/neurosurg-focus/49/1/article-pE2.pdf,10.3171/2020.4.focus20185,,32610290,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,52,2020,A Low-Cost Lower-Limb Brain-Machine Interface Triggered by Pedaling Motor Imagery for Post-Stroke Patients Rehabilitation,"M. Romero-Laiseca, D. Delisle-Rodríguez, V. Cardoso, Dharmendra Gurve, Flávia A. Loterio, Jorge Henrique Posses Nascimento, et al.",IEEE transactions on neural systems and rehabilitation engineering,2020-02-14,75,8,157.826,clinical/rehab; closed-loop,"A low-cost Brain-Machine Interface (BMI) based on electroencephalography for lower-limb motor recovery of post-stroke patients is proposed here, which provides passive pedaling as feedback, when patients trigger a Mini-Motorized Exercise Bike (MMEB) by executing pedaling motor imagery (MI).",recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TNSRE.2020.2974056,https://www.semanticscholar.org/paper/9ad50a34c1e040ac81465ee0d136a293cf6e0b6e,,10.1109/TNSRE.2020.2974056,,32078552,Engineering; Medicine
Motor Imagery and Movement Decoding,53,2020,Motor imagery EEG recognition based on conditional optimization empirical mode decomposition and multi-scale convolutional neural network,"Xianlun Tang, Wei Li, Xingchen Li, Weichang Ma, Xiaoyuan Dang",Expert systems with applications,2020-07-01,146,6,157.316,dataset/benchmark,Abstract Electroencephalogram (EEG) signals classification plays a crucial role in brain computer interfaces (BCIs) system.,high citation signal (146),PDF link not available from metadata,https://doi.org/10.1016/j.eswa.2020.113285,https://www.semanticscholar.org/paper/72ec882473e8363c80f7f0837ce8374b0f48ea11,,10.1016/j.eswa.2020.113285,,,Computer Science; Medicine
Motor Imagery and Movement Decoding,54,2021,Advanced TSGL-EEGNet for Motor Imagery EEG-Based Brain-Computer Interfaces,"Xin Deng, Boxian Zhang, Nian Yu, Ke Liu, Kaiwei Sun",IEEE Access,,99,7,157.244,dataset/benchmark; deep learning,Deep learning technology is rapidly spreading in recent years and has been extensive attempts in the field of Brain-Computer Interface (BCI).,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/ACCESS.2021.3056088,https://www.semanticscholar.org/paper/483c647dc973f66a45b7523f9db7e1b5095895c6,https://ieeexplore.ieee.org/ielx7/6287639/9312710/09343873.pdf,10.1109/ACCESS.2021.3056088,,,Computer Science; Engineering
Motor Imagery and Movement Decoding,55,2020,MI-EEGNET: A novel Convolutional Neural Network for motor imagery classification.,"Mouad Riyad, Mohammed Khalil, A. Adib",Journal of Neuroscience Methods,2020-12-15,98,7,156.023,BCI method,BACKGROUND Brain-Computer Interfaces (BCI) permits humans to interact with machines by decoding brainwaves to command for a variety of purposes.,recognized venue,PDF link not available from metadata,https://doi.org/10.1016/j.jneumeth.2020.109037,https://www.semanticscholar.org/paper/5e4bc359675099a8cfe1c9de3658f1813d08d88a,,10.1016/j.jneumeth.2020.109037,,33338542,Computer Science; Medicine
Motor Imagery and Movement Decoding,56,2023,Conformal in-ear bioelectronics for visual and auditory brain-computer interfaces,"Zhouheng Wang, Nanlin Shi, Yingchao Zhang, Ning Zheng, Haicheng Li, Yang Jiao, et al.",Nature Communications,2023-07-14,107,3,155.46,clinical/rehab; invasive; communication,Brain-computer interfaces (BCIs) have attracted considerable attention in motor and language rehabilitation.,high citation signal (107); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1038/s41467-023-39814-6,https://www.semanticscholar.org/paper/f66c7ac405f376c588a3c1b644fb0d89be84ac2c,https://www.nature.com/articles/s41467-023-39814-6.pdf,10.1038/s41467-023-39814-6,,37452047,Engineering; Medicine
Motor Imagery and Movement Decoding,57,2020,Decoding spoken English from intracortical electrode arrays in dorsal precentral gyrus,"G. Wilson, S. Stavisky, Francis R. Willett, Donald T. Avansino, Jessica N. Kelemen, L. Hochberg, et al.",Journal of Neural Engineering,2020-11-25,95,4,155.386,clinical/rehab; invasive; communication,Objective.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1088/1741-2552/abbfef,https://www.semanticscholar.org/paper/4c56437fdf755b831b4ce12a9e1c4b1fc3059a05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8293867,10.1088/1741-2552/abbfef,,33236720,Computer Science; Medicine; Physics
Motor Imagery and Movement Decoding,58,2022,Tensor-CSPNet: A Novel Geometric Deep Learning Framework for Motor Imagery Classification,"Ce Ju, Cuntai Guan",IEEE Transactions on Neural Networks and Learning Systems,2022-02-05,89,7,154.926,deep learning,"Deep learning (DL) has been widely investigated in a vast majority of applications in electroencephalography (EEG)-based brain–computer interfaces (BCIs), especially for motor imagery (MI) classification in the past five years.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNNLS.2022.3172108,https://www.semanticscholar.org/paper/9a03e8e2654e7bdc0bb4cbcfbd3ea0b176b35f32,https://ieeexplore.ieee.org/ielx7/5962385/10336252/09805775.pdf,10.1109/TNNLS.2022.3172108,2202.02472,35749326,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,59,2020,Effect of brain-computer interface training based on non-invasive electroencephalography using motor imagery on functional recovery after stroke - a systematic review and meta-analysis,"Antje Kruse, Z. Suica, J. Taeymans, Corina Schuster-Amft",BMC Neurology,2020-10-22,67,6,154.356,review; clinical/rehab; invasive,Background Training with brain-computer interface (BCI) technology in the rehabilitation of patients after a stroke is rapidly developing.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1186/s12883-020-01960-5,https://www.semanticscholar.org/paper/c312e06e483c5b3c81f4db378d002e98ab19d5b1,https://bmcneurol.biomedcentral.com/track/pdf/10.1186/s12883-020-01960-5,10.1186/s12883-020-01960-5,,33092554,Medicine
Motor Imagery and Movement Decoding,60,2022,A large EEG dataset for studying cross-session variability in motor imagery brain-computer interface,"Jun Ma, Banghua Yang, Wenzheng Qiu, Yunzhe Li, Shouwei Gao, Xinxing Xia",Scientific Data,2022-09-01,93,8,154.003,dataset/benchmark,"In building a practical and robust brain-computer interface (BCI), the classification of motor imagery (MI) from electroencephalography (EEG) across multiple days is a long-standing challenge due to the large variability of the EEG signals.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1038/s41597-022-01647-1,https://www.semanticscholar.org/paper/fb8754406c9c5459dfe592c532c658b8d2e3b48d,https://www.nature.com/articles/s41597-022-01647-1.pdf,10.1038/s41597-022-01647-1,,36050394,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,61,2020,Parallel Spatial–Temporal Self-Attention CNN-Based Motor Imagery Classification for BCI,"Xiuling Liu, Yonglong Shen, Jing Liu, Jianli Yang, Peng Xiong, Feng Lin",Frontiers in Neuroscience,2020-12-11,71,8,153.137,deep learning,"Motor imagery (MI) electroencephalography (EEG) classification is an important part of the brain-computer interface (BCI), allowing people with mobility problems to communicate with the outside world via assistive devices.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnins.2020.587520,https://www.semanticscholar.org/paper/4b5c94bd79c8e270a62f231dce2edcc5a82b1823,https://www.frontiersin.org/articles/10.3389/fnins.2020.587520/pdf,10.3389/fnins.2020.587520,,33362458,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,62,2020,Deep Learning Based Inter-subject Continuous Decoding of Motor Imagery for Practical Brain-Computer Interfaces,"Sujit Roy, Anirban Chowdhury, K. McCreadie, G. Prasad",Frontiers in Neuroscience,2020-09-30,51,7,152.857,dataset/benchmark; deep learning; closed-loop,Inter-subject transfer learning is a long-standing problem in brain-computer interfaces (BCIs) and has not yet been fully realized due to high inter-subject variability in the brain signals related to motor imagery (MI).,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnins.2020.00918,https://www.semanticscholar.org/paper/109487fefab4b08b8614a85e338640ace70542a4,https://www.frontiersin.org/articles/10.3389/fnins.2020.00918/pdf,10.3389/fnins.2020.00918,,33100953,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,63,2020,Motor imagery recognition with automatic EEG channel selection and deep learning,"Han Zhang, Xing Zhao, Zexu Wu, Biao Sun, Ting Li",Journal of Neural Engineering,2020-11-12,88,4,152.72,clinical/rehab; deep learning,Objective.,recognized venue,PDF link not available from metadata,https://doi.org/10.1088/1741-2552/abca16,https://www.semanticscholar.org/paper/e329107affacddf9b790314f4b9387bee3042be1,,10.1088/1741-2552/abca16,,33181505,Computer Science; Medicine; Physics
Motor Imagery and Movement Decoding,64,2020,Decoding multiclass motor imagery EEG from the same upper limb by combining Riemannian geometry features and partial least squares regression,"Yaqi Chu, Xingang Zhao, Yijun Zou, Weiliang Xu, G. Song, Jianda Han, et al.",Journal of Neural Engineering,2020-08-11,79,6,152.431,dataset/benchmark,Objective.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1088/1741-2552/aba7cd,https://www.semanticscholar.org/paper/cb1f742a5ba05c1689deb18e5a37af3bdb87420f,https://iopscience.iop.org/article/10.1088/1741-2552/aba7cd/pdf,10.1088/1741-2552/aba7cd,,32780720,Computer Science; Engineering; Medicine; Physics
Motor Imagery and Movement Decoding,65,2022,Privacy-Preserving Domain Adaptation for Motor Imagery-Based Brain-Computer Interfaces,"Kun Xia, Lingfei Deng, Wlodzislaw Duch, Dongrui Wu",IEEE Transactions on Biomedical Engineering,2022-04-19,67,7,152.259,deep learning,Objective: Electroencephalogram (EEG) is one of the most widely used signals in motor imagery (MI) based brain-computer interfaces (BCIs).,recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TBME.2022.3168570,https://www.semanticscholar.org/paper/60a7e58e04d33442a252042c968b1a828df35af2,,10.1109/TBME.2022.3168570,,35439124,Computer Science; Medicine
Motor Imagery and Movement Decoding,66,2021,Motor Imagery EEG Decoding Method Based on a Discriminative Feature Learning Strategy,"Lie Yang, Yonghao Song, Ke Ma, Longhan Xie",IEEE transactions on neural systems and rehabilitation engineering,2021-01-18,86,4,152.22,dataset/benchmark; deep learning,"With the rapid development of deep learning, more and more deep learning-based motor imagery electroencephalograph (EEG) decoding methods have emerged in recent years.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNSRE.2021.3051958,https://www.semanticscholar.org/paper/6e6181da09d20778cd834c03725e09bd66bf52d3,https://ieeexplore.ieee.org/ielx7/7333/9363468/09327487.pdf,10.1109/TNSRE.2021.3051958,,33460382,Computer Science; Medicine
Motor Imagery and Movement Decoding,67,2020,Enhanced Motor Imagery Based Brain- Computer Interface via FES and VR for Lower Limbs,"Shixin Ren, Weiqun Wang, Z. Hou, Xu Liang, Jiaxing Wang, Weiguo Shi",IEEE transactions on neural systems and rehabilitation engineering,2020-06-12,74,8,152.035,BCI method,Motor imagery based brain-computer interface (MI-BCI) has been studied for improvement of patients’ motor function in neurorehabilitation and motor assistance.,recognized venue,PDF link not available from metadata,https://doi.org/10.1109/tnsre.2020.3001990,https://www.semanticscholar.org/paper/77cf8ec36c8ab7e9c2d5d1098c1bdd287e89355d,,10.1109/tnsre.2020.3001990,,32746291,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,68,2020,BCI-Based Rehabilitation on the Stroke in Sequela Stage,"Yangyang Miao, Shugeng Chen, Xinru Zhang, Jing Jin, Ren Xu, I. Daly, et al.",Journal of Neural Transplantation and Plasticity,2020-12-13,89,8,151.046,clinical/rehab; closed-loop,Background Stroke is the leading cause of serious and long-term disability worldwide.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1155/2020/8882764,https://www.semanticscholar.org/paper/75dda8fa2f399357e290bbd5671d9e0f14297284,https://downloads.hindawi.com/journals/np/2020/8882764.pdf,10.1155/2020/8882764,,33414824,Engineering; Medicine
Motor Imagery and Movement Decoding,69,2020,Deep Temporal-Spatial Feature Learning for Motor Imagery-Based Brain–Computer Interfaces,"Junjian Chen, Zhuliang Yu, Z. Gu, Yuanqing Li",IEEE transactions on neural systems and rehabilitation engineering,2020-09-21,72,6,150.916,deep learning,"Motor imagery (MI) decoding is an important part of brain-computer interface (BCI) research, which translates the subject’s intentions into commands that external devices can execute.",recognized venue,PDF link not available from metadata,https://doi.org/10.1109/TNSRE.2020.3023417,https://www.semanticscholar.org/paper/80fbbb4d01fff7f653edfa65ee6c0bc3791f1fa7,,10.1109/TNSRE.2020.3023417,,32956061,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,70,2020,Fusion Convolutional Neural Network for Cross-Subject EEG Motor Imagery Classification,"K. Roots, Y. Muhammad, Naveed Muhammad",De Computis,2020-09-05,80,10,150.84,dataset/benchmark; deep learning,Brain–computer interfaces (BCIs) can help people with limited motor abilities to interact with their environment without external assistance.,influential citation signal (10); open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/computers9030072,https://www.semanticscholar.org/paper/a290867684819aeaddba3587a0d3ad6d5b9781e8,https://www.mdpi.com/2073-431X/9/3/72/pdf?version=1599294277,10.3390/computers9030072,,,Computer Science
Motor Imagery and Movement Decoding,71,2020,Prognosis for patients with cognitive motor dissociation identified by brain-computer interface,"Jiahui Pan, Qiuyou Xie, Pengmin Qin, Yan Chen, Yanbin He, Haiyun Huang, et al.",Brain : a journal of neurology,2020-02-26,128,4,150.386,BCI method,See Owen (doi:10.1093/brain/awaa056) for a scientific commentary on this article.,high citation signal (128); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1093/brain/awaa026,https://www.semanticscholar.org/paper/46ac5990af32c66944c6ddbdac2e190d39710c46,https://academic.oup.com/brain/article-pdf/143/4/1177/33368849/awaa026.pdf,10.1093/brain/awaa026,,32101603,Computer Science; Medicine
Motor Imagery and Movement Decoding,72,2021,Analysis of Human Gait Using Hybrid EEG-fNIRS-Based BCI System: A Review,"H. Khan, Noman Naseer, A. Yazidi, P. Eide, Hafiz Wajahat Hassan, P. Mirtaheri",Frontiers in Human Neuroscience,2021-01-25,73,4,150.159,review; clinical/rehab,"Human gait is a complex activity that requires high coordination between the central nervous system, the limb, and the musculoskeletal system.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnhum.2020.613254,https://www.semanticscholar.org/paper/765bbd0af1cb96a356dd9d0b6b61e10836101843,https://www.frontiersin.org/articles/10.3389/fnhum.2020.613254/pdf,10.3389/fnhum.2020.613254,,33568979,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,73,2022,Motor imagery classification in brain-machine interface with machine learning algorithms: Classical approach to multi-layer perceptron model,"Rahul Sharma, Minju Kim, Akansha Gupta",Biomedical Signal Processing and Control,2022-01-01,129,6,150.112,BCI method,Positions Motor imagery classification in brain-machine interface with machine learning algorithms: Classical approach to multi-layer perceptron model within Motor Imagery and Movement Decoding.,high citation signal (129),abstract unavailable in metadata; PDF link not available from metadata,https://doi.org/10.1016/j.bspc.2021.103101,https://www.semanticscholar.org/paper/e8de0d6d3f21f09be7e3a8b2dd7493ec5bd0969f,,10.1016/j.bspc.2021.103101,,,Computer Science
Motor Imagery and Movement Decoding,74,2021,Hybrid deep neural network using transfer learning for EEG motor imagery decoding,"Ruilong Zhang, Q. Zong, Liqian Dou, Xinyi Zhao, Yifan Tang, Zhiyu Li",Biomedical Signal Processing and Control,2021-01-01,126,5,149.824,dataset/benchmark; deep learning,Abstract A major challenge in motor imagery (MI) of electroencephalogram (EEG) based brain–computer interfaces (BCIs) is the individual differences for different people.,high citation signal (126),PDF link not available from metadata,https://doi.org/10.1016/j.bspc.2020.102144,https://www.semanticscholar.org/paper/d8d38a30ad285818d6733d786ebb9b5f7976a520,,10.1016/j.bspc.2020.102144,,,Computer Science; Engineering
Motor Imagery and Movement Decoding,75,2022,Stabilizing brain-computer interfaces through alignment of latent dynamics,"B. M. Karpowicz, Yahia H. Ali, Lahiru N. Wimalasena, Andrew R. Sedler, Mohammad Reza Keshtkaran, Kevin L. Bodkin, et al.",bioRxiv,2022-11-08,86,6,149.276,clinical/rehab; invasive,Intracortical brain-computer interfaces (iBCIs) restore motor function to people with paralysis by translating brain activity into control signals for external devices.,selected from the top-scored BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1038/s41467-025-59652-y,https://www.semanticscholar.org/paper/bb01681116b47c164d301c02728225b326c97520,,10.1038/s41467-025-59652-y,,40389429,Biology; Computer Science; Medicine
Motor Imagery and Movement Decoding,76,2022,EEGSym: Overcoming Inter-Subject Variability in Motor Imagery Based BCIs With Deep Learning,"S. Pérez-Velasco, E. Santamaría-Vázquez, V. Martínez-Cagigal, D. Marcos-Martínez, R. Hornero",IEEE transactions on neural systems and rehabilitation engineering,2022-06-27,66,6,149.03,deep learning,"In this study, we present a new Deep Learning (DL) architecture for Motor Imagery (MI) based Brain Computer Interfaces (BCIs) called EEGSym.",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/TNSRE.2022.3186442,https://www.semanticscholar.org/paper/956762a1cfee1d41bda397949970875e1875122b,https://ieeexplore.ieee.org/ielx7/7333/4359219/09807323.pdf,10.1109/TNSRE.2022.3186442,,35759578,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,77,2021,Brain-Computer Interfaces for Children With Complex Communication Needs and Limited Mobility: A Systematic Review,"S. Orlandi, S. House, P. Karlsson, R. Saab, T. Chau",Frontiers in Human Neuroscience,2021-07-14,51,4,148.897,review; clinical/rehab; invasive; communication,Brain-computer interfaces (BCIs) represent a new frontier in the effort to maximize the ability of individuals with profound motor impairments to interact and communicate.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnhum.2021.643294,https://www.semanticscholar.org/paper/caeccf295f3ea135130e56f27c68ff50afd3645f,https://www.frontiersin.org/articles/10.3389/fnhum.2021.643294/pdf,10.3389/fnhum.2021.643294,,34335203,Education; Engineering; Medicine
Motor Imagery and Movement Decoding,78,2024,The largest EEG-based BCI reproducibility study for open science: the MOABB benchmark,"Sylvain Chevallier, Igor Carrara, Bruno Aristimunha, Pierre Guetschel, Sara Sedlar, Bruna J. Lopes, et al.",arXiv.org,2024-04-03,42,8,148.796,review; dataset/benchmark; deep learning,Objective.,selected from the top-scored BCI candidate pool,PDF link not available from metadata,https://doi.org/10.48550/arXiv.2404.15319,https://www.semanticscholar.org/paper/a384d0dbc544bcf89b1160b9ad7b5eecb0fe995d,,10.48550/arXiv.2404.15319,2404.15319,,Biology; Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,79,2020,Brain Computer Interface Treatment for Motor Rehabilitation of Upper Extremity of Stroke Patients—A Feasibility Study,"Marc Sebastián-Romagosa, W. Cho, R. Ortner, Nensi Murovec, T. V. von Oertzen, K. Kamada, et al.",Frontiers in Neuroscience,2020-10-21,125,2,148.673,clinical/rehab,Introduction Numerous recent publications have explored Brain Computer Interfaces (BCI) systems as rehabilitation tools to help subacute and chronic stroke patients recover upper extremity movement.,high citation signal (125); recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3389/fnins.2020.591435,https://www.semanticscholar.org/paper/b7f3bf57198c7f82403567aabad4ac599237a34d,https://www.frontiersin.org/articles/10.3389/fnins.2020.591435/pdf,10.3389/fnins.2020.591435,,33192277,Engineering; Medicine
Motor Imagery and Movement Decoding,80,2020,A novel method of motor imagery classification using eeg signal,"V. K, D. A, M. J, S. M, A. A, S Amiri Iraj",Artif. Intell. Medicine,2020-03-01,88,5,148.502,dataset/benchmark; clinical/rehab,"A subject of extensive research interest in the Brain Computer Interfaces (BCIs) niche is motor imagery (MI), where users imagine limb movements to control the system.",selected from the top-scored BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1016/j.artmed.2019.101787,https://www.semanticscholar.org/paper/61a8d53ba5088240ac59f24ad82cd10d4fc78c8b,,10.1016/j.artmed.2019.101787,,32143794,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,81,2021,RETRACTED: A 1D CNN for high accuracy classification and transfer learning in motor imagery EEG-based brain-computer interface,"F. Mattioli, C. Porcaro, G. Baldassarre",,,117,4,148.425,dataset/benchmark; deep learning; communication,Objective.,high citation signal (117); open-access PDF metadata,venue missing in metadata,https://doi.org/10.1088/1741-2552/ac4430,https://www.semanticscholar.org/paper/1a814f4a24713fb437a562da8b3af1b2dfe72de0,https://iopscience.iop.org/article/10.1088/1741-2552/ac4430/pdf,10.1088/1741-2552/ac4430,,,Computer Science; Engineering; Physics
Motor Imagery and Movement Decoding,82,2020,Combining brain-computer interface and virtual reality for rehabilitation in neurological diseases: a narrative review.,"Dong Wen, Yanqian Fan, S. Hsu, Xu Jian, Yanhong Zhou, Jianxin Tao, et al.",Annals of Physical and Rehabilitation Medicine,2020-06-16,104,3,148.34,review; clinical/rehab,"BACKGROUND The traditional rehabilitation for neurological diseases lacks the active participation of patients, its process is monotonous and tedious, and the effects need to be improved.",high citation signal (104),PDF link not available from metadata,https://doi.org/10.1016/j.rehab.2020.03.015,https://www.semanticscholar.org/paper/70dc1d863d352ab0498730b75e47f4067ddbb517,,10.1016/j.rehab.2020.03.015,,32561504,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,83,2021,"Longevity and Reliability of Chronic Unit Recordings using the Utah, Intracortical Multi-electrode Arrays","Caleb Sponheim, Vasileios Papadourakis, J. Collinger, J. Downey, Jeffrey M. Weiss, Lida Pentousi, et al.",Journal of Neural Engineering,2021-11-30,54,4,148.131,dataset/benchmark; clinical/rehab; invasive,Objective.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1088/1741-2552/ac3eaf,https://www.semanticscholar.org/paper/93bbeca1e07d0370365b8830a7d4144be4fb016c,https://iopscience.iop.org/article/10.1088/1741-2552/ac3eaf/pdf,10.1088/1741-2552/ac3eaf,,34847547,Engineering; Medicine; Physics
Motor Imagery and Movement Decoding,84,2022,Classification of motor imagery EEG using deep learning increases performance in inefficient BCI users,"Navneet Tibrewal, Nikki Leeuwis, M. Alimardani",PLoS ONE,2022-07-22,91,3,147.933,deep learning,Motor Imagery Brain-Computer Interfaces (MI-BCIs) are AI-driven systems that capture brain activity patterns associated with mental imagination of movement and convert them into commands for external devices.,recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1371/journal.pone.0268880,https://www.semanticscholar.org/paper/7ba8d1c8c826e39d0f9f7b83af1769a44bf53202,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0268880&type=printable,10.1371/journal.pone.0268880,,35867703,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,85,2022,Using adversarial networks to extend brain computer interface decoding accuracy over time,"Xuan Ma, Fabio Rizzoglio, Kevin L. Bodkin, E. Perreault, L. Miller, A. Kennedy",bioRxiv,2022-08-26,53,6,147.784,dataset/benchmark; clinical/rehab; invasive; deep learning,Existing intracortical brain computer interfaces (iBCIs) transform neural activity into control signals capable of restoring movement to persons with paralysis.,open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1101/2022.08.26.504777,https://www.semanticscholar.org/paper/7801cdf5174fed5ae56a5a72f40e33248663a22d,https://doi.org/10.7554/elife.84296,10.1101/2022.08.26.504777,,37610305,Biology; Computer Science; Medicine
Motor Imagery and Movement Decoding,86,2021,Hybrid Deep Learning (hDL)-Based Brain-Computer Interface (BCI) Systems: A Systematic Review,"Nibras Abo Alzahab, Luca Apollonio, A. Di Iorio, Muaaz Alshalak, Sabrina Iarlori, Francesco Ferracuti, et al.",Brain Science,2021-01-01,89,2,147.771,review; deep learning,"Background: Brain-Computer Interface (BCI) is becoming more reliable, thanks to the advantages of Artificial Intelligence (AI).",recognized venue; open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.3390/brainsci11010075,https://www.semanticscholar.org/paper/41e2ccdf6f98f9d8b89078bfb96aa330d9a4da07,https://www.mdpi.com/2076-3425/11/1/75/pdf?version=1610532222,10.3390/brainsci11010075,,33429938,Computer Science; Medicine
Motor Imagery and Movement Decoding,87,2023,A shallow mirror transformer for subject-independent motor imagery BCI,"Jing Luo, Yaojie Wang, Shuxian Xia, N. Lu, X. Ren, Zhenghao Shi, et al.",Comput. Biol. Medicine,2023-07-01,69,5,147.719,dataset/benchmark; clinical/rehab; deep learning,OBJECTIVE Motor imagery BCI plays an increasingly important role in motor disorders rehabilitation.,selected from the top-scored BCI candidate pool,PDF link not available from metadata,https://doi.org/10.1016/j.compbiomed.2023.107254,https://www.semanticscholar.org/paper/2f4e56866da05ec6eefd353e954d9d137ec55ce7,,10.1016/j.compbiomed.2023.107254,,37499295,Computer Science; Engineering; Medicine
Motor Imagery and Movement Decoding,88,2021,Brain-computer interface for hands-free teleoperation of construction robots,"Yizhi Liu, Mahmoud Habibnezhad, H. Jebelli",,2021-03-01,141,5,147.28,BCI method,"Abstract Recently, the use of collaborative robots has started to emerge at construction sites.",high citation signal (141),venue missing in metadata; PDF link not available from metadata,https://doi.org/10.1016/J.AUTCON.2020.103523,https://www.semanticscholar.org/paper/bedce22c16dd68fa8d3130dbd342ff47082984b8,,10.1016/J.AUTCON.2020.103523,,,Computer Science; Engineering
Motor Imagery and Movement Decoding,89,2020,"Decoding EEG Rhythms During Action Observation, Motor Imagery, and Execution for Standing and Sitting","Rattanaphon Chaisaen, Phairot Autthasan, Nopparada Mingchinda, Pitshaporn Leelaarporn, Narin Kunaseth, Suppakorn Tammajarung, et al.",IEEE Sensors Journal,2020-04-07,90,6,146.765,clinical/rehab,"Event-related desynchronization and synchronization (ERD/S) and movement-related cortical potential (MRCP) play an important role in brain-computer interfaces (BCI) for lower limb rehabilitation, particularly in standing and sitting.",open-access PDF metadata,metadata-level appraisal; full PDF review still needed,https://doi.org/10.1109/JSEN.2020.3005968,https://www.semanticscholar.org/paper/697dae41fe3fa4282f3df9a268a25580d38bd62a,https://findresearcher.sdu.dk/ws/files/175266678/402362_SS_EEG_Sensors.pdf,10.1109/JSEN.2020.3005968,2004.04107,,Computer Science; Engineering; Medicine
